N_MEASUREMENT,LATITUDE,LONGITUDE
590,19.37,-59.81700000000001
591,19.368,-59.81700000000001
592,19.368,-59.815
593,19.372,-59.809000000000026
594,19.367,-59.81200000000001
595,19.368,-59.807000000000016
596,19.366,-59.80399999999997
597,19.371,-59.807000000000016
598,19.372,-59.81
599,19.371,-59.80799999999999
600,19.374,-59.80099999999999
601,19.376,-59.80500000000001
666,19.347,-59.73200000000003
667,19.35,-59.72500000000002
668,19.354,-59.721
669,19.347,-59.72199999999998
670,19.346,-59.71300000000002
671,19.347,-59.70999999999998
672,19.344,-59.709
673,19.346,-59.70400000000001
674,19.347,-59.704999999999984
675,19.344,-59.69999999999999
676,19.342,-59.69400000000002
677,19.339,-59.68599999999998
678,19.334,-59.685
743,19.242,-59.53399999999999
744,19.241,-59.54000000000002
745,19.233,-59.541
746,19.227,-59.53899999999999
747,19.226,-59.545000000000016
748,19.22,-59.547000000000025
749,19.217,-59.548
750,19.215,-59.54899999999998
751,19.211,-59.55399999999997
752,19.212,-59.55000000000001
753,19.209,-59.55000000000001
754,19.206,-59.547000000000025
819,19.046,-59.38299999999998
820,19.045,-59.384000000000015
821,19.043,-59.382000000000005
822,19.04,-59.384000000000015
823,19.039,-59.384000000000015
824,19.037,-59.382000000000005
825,19.036,-59.387
826,19.037,-59.38900000000001
827,19.033,-59.38900000000001
828,19.032,-59.392
829,19.031,-59.396000000000015
894,18.804,-59.238
895,18.802,-59.238
896,18.796,-59.245000000000005
897,18.793,-59.250999999999976
898,18.792,-59.25299999999999
899,18.79,-59.24799999999999
900,18.789,-59.24599999999998
901,18.787,-59.250999999999976
902,18.784,-59.247000000000014
903,18.779,-59.24900000000002
904,18.777,-59.24799999999999
905,18.769,-59.24599999999998
906,18.762,-59.250999999999976
971,18.593,-59.12400000000002
972,18.605,-59.11500000000001
973,18.6,-59.108
974,18.644,-59.06999999999999
975,18.665,-59.072
976,18.659,-59.059000000000026
977,18.69,-59.02999999999997
978,18.704,-59.007000000000005
979,18.7,-59.009000000000015
980,18.706,-58.98200000000003
981,18.714,-58.93900000000002
982,18.717,-58.918000000000006
1047,18.515,-58.77999999999997
1048,18.507,-58.77999999999997
1049,18.502,-58.76799999999997
1050,18.495,-58.75999999999999
1051,18.489,-58.75799999999998
1052,18.484,-58.74599999999998
1053,18.478,-58.74599999999998
1054,18.475,-58.74000000000001
1055,18.465,-58.74000000000001
1056,18.451,-58.73599999999999
1057,18.439,-58.733
1123,18.332,-58.74599999999998
1124,18.333,-58.75
1125,18.334,-58.74799999999999
1126,18.334,-58.755
1127,18.337,-58.757000000000005
1128,18.341,-58.75599999999997
1129,18.342,-58.76600000000002
1130,18.348,-58.76400000000001
1131,18.351,-58.76999999999998
1132,18.353,-58.771000000000015
1133,18.353,-58.769000000000005
1134,18.358,-58.77499999999998
1198,18.298,-58.82900000000001
1199,18.294,-58.83499999999998
1200,18.295,-58.834
1201,18.295,-58.83499999999998
1202,18.294,-58.839
1203,18.296,-58.839999999999975
1204,18.296,-58.84300000000002
1205,18.298,-58.84500000000003
1206,18.298,-58.844
1207,18.298,-58.84899999999999
1208,18.296,-58.851
1209,18.298,-58.856
1210,18.292,-58.86500000000001
1275,18.263,-58.90300000000002
1276,18.266,-58.90199999999999
1277,18.271,-58.90100000000001
1278,18.279,-58.906000000000006
1279,18.28,-58.910000000000025
1280,18.284,-58.911
1281,18.29,-58.918000000000006
1282,18.294,-58.91500000000002
1283,18.298,-58.92099999999999
1284,18.303,-58.92500000000001
1285,18.306,-58.916
1286,18.305,-58.911
1352,18.22,-58.92399999999998
1353,18.221,-58.92399999999998
1354,18.227,-58.92399999999998
1355,18.227,-58.923
1356,18.229,-58.922000000000025
1357,18.231,-58.920000000000016
1358,18.231,-58.920000000000016
