N_MEASUREMENT,LATITUDE,LONGITUDE,PRES,TEMP,PSAL
218,20.141,-59.82400000000001,,,
219,20.126,-59.82499999999999,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,10.0,,
225,,,590.0,,
226,,,,,
227,,,636.0,10.845,35.408
228,,,573.0,12.184,35.599
229,,,553.0,12.499,35.651
230,,,555.0,12.779,35.69
231,,,556.0,12.864,35.696
232,,,549.0,12.727,35.688
233,,,554.0,12.605,35.66
234,,,558.0,12.513,35.652
235,,,562.0,12.352,35.624
236,,,565.0,12.411,35.635
237,,,564.0,12.487,35.644
238,,,565.0,12.427,35.635
239,,,566.0,12.604,35.661
240,,,560.0,12.671,35.674
241,,,564.0,12.532,35.652
242,,,562.0,12.527,35.654
243,,,573.0,12.102,35.587
244,,,568.0,12.305,35.619
245,,,574.0,12.278,35.612
246,,,568.0,12.302,35.616
247,,,568.0,12.409,35.633
248,,,565.0,12.746,35.683
249,,,559.0,12.49,35.638
250,,,567.0,12.386,35.63
251,,,573.0,12.07,35.584
252,,,573.0,12.062,35.582
253,,,569.0,12.179,35.601
254,,,571.0,12.179,35.602
255,,,,,
256,,,549.0,,
257,,,653.0,,
258,,,566.7857,12.37625,35.62893
259,,,2030.0,,
260,,,,,
261,,,,,
262,,,1980.0,,
263,,,1990.0,,
264,,,1983.0,3.699,34.982
265,,,1983.0,3.699,34.982
266,,,1813.0,3.977,34.989
267,,,1638.0,4.283,34.999
268,,,1463.0,4.741,35.017
269,,,1288.0,5.288,35.011
270,,,1113.0,5.811,34.946
271,,,938.0,6.334,34.837
272,,,763.0,8.417,35.052
273,,,587.0,12.0,35.573
274,,,463.0,14.602,35.986
275,,,325.0,17.609,36.474
276,,,256.0,18.727,36.638
277,,,185.0,21.305,37.016
278,,,116.0,24.723,37.315
279,,,65.0,26.253,37.138
280,,,9.0,28.318,35.601
281,,,4.0,28.311,35.594
282,,,,,
283,,,,,
284,,,,,
285,19.923,-59.69900000000001,,,
286,19.917,-59.69999999999999,,,
287,19.916,-59.70400000000001,,,
288,19.914,-59.704999999999984,,,
289,19.909,-59.71100000000001,,,
290,19.906,-59.70999999999998,,,
291,19.905,-59.71300000000002,,,
292,19.897,-59.716999999999985,,,
293,19.894,-59.72399999999999,,,
294,19.888,-59.73000000000002,,,
295,19.881,-59.730999999999995,,,
296,19.881,-59.742999999999995,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,30.0,,
302,,,580.0,,
303,,,,,
304,,,616.0,11.108,35.447
305,,,622.0,11.307,35.475
306,,,621.0,11.464,35.495
307,,,625.0,11.194,35.456
308,,,628.0,10.973,35.423
309,,,635.0,10.806,35.396
310,,,631.0,10.909,35.418
311,,,634.0,10.983,35.423
312,,,632.0,11.036,35.432
313,,,636.0,10.766,35.395
314,,,635.0,10.988,35.423
315,,,631.0,11.331,35.475
316,,,627.0,10.778,35.399
317,,,645.0,10.454,35.346
318,,,645.0,10.476,35.351
319,,,563.0,12.39,35.629
320,,,593.0,11.45,35.495
321,,,604.0,11.563,35.509
322,,,592.0,11.853,35.552
323,,,595.0,11.859,35.552
324,,,596.0,11.711,35.531
325,,,596.0,11.712,35.53
326,,,594.0,11.817,35.547
327,,,590.0,11.764,35.542
328,,,594.0,11.545,35.51
329,,,603.0,11.443,35.493
330,,,598.0,11.576,35.514
331,,,,,
332,,,560.0,,
333,,,654.0,,
334,,,614.1111,11.305778,35.47252
335,,,1990.0,,
336,,,,,
337,,,,,
338,,,1990.0,,
339,,,1990.0,,
340,,,1987.0,3.693,34.973
341,,,1987.0,3.693,34.973
342,,,1863.0,3.853,34.979
343,,,1638.0,4.286,34.998
344,,,1513.0,4.614,35.013
345,,,1288.0,5.21,35.001
346,,,1163.0,5.584,34.957
347,,,988.0,5.972,34.829
